"farm"	"broadclass"	"type"	"padj"	"median_feces"	"median_rumen"	"median_SNP"	"IQR_feces"	"IQR_rumen"	"IQR_SNP"	"prestotal_feces"	"prestotal_rumen"	"prestotal_SNP"	"persamp.pres_feces"	"persamp.pres_rumen"	"persamp.pres_SNP"
"1"	"Drugs"	"Pleuromutilin"	0	0.883546055999846	0.276138057408512	0.00034903839396253	0.181752311418063	0.198892905436046	0.000520502906527293	16	16	11	0.333333333333333	0.333333333333333	0.229166666666667
"1"	"Drugs"	"Sulfonamides"	0	0	0	0	0.0217235998686276	0.00196895214034756	0	38	32	8	0.791666666666667	0.666666666666667	0.166666666666667
"1"	"Drugs"	"Tetracyclines"	0	0.0120651786936578	0	0	0.267664039134019	0.0602495944085331	0	278	191	61	5.79166666666667	3.97916666666667	1.27083333333333
"1"	"Drugs"	"Trimethoprim"	0.011025	0	0	0	0	0	0	10	1	4	0.208333333333333	0.0208333333333333	0.0833333333333333
"1"	"Metals"	"Arsenic_resistance"	0	0	0	0	0.0483340729506467	0.000868255670043081	0	67	46	5	1.39583333333333	0.958333333333333	0.104166666666667
"1"	"Metals"	"Chromium_resistance"	0.00128947368421053	0	0	0	0	0	0	10	3	0	0.208333333333333	0.0625	0
"1"	"Metals"	"Cobalt_resistance"	0.00128947368421053	0	0.119492799159602	0	0.116037059318507	0.186003648887921	0	6	10	0	0.125	0.208333333333333	0
"1"	"Metals"	"Copper_resistance"	0	0	0	0	0.00203217033239194	2.10927116262716e-05	0	109	88	12	2.27083333333333	1.83333333333333	0.25
"1"	"Metals"	"Iron_resistance"	0	0.0160514399701612	0.0036462564239897	0	0.0760345441382931	0.0254580911787363	0	25	26	2	0.520833333333333	0.541666666666667	0.0416666666666667
"1"	"Metals"	"Lead_resistance"	0	0	0	0	0.0211188607552237	0	0	12	5	0	0.25	0.104166666666667	0
"1"	"Metals"	"Multi-metal_resistance"	0	0	0	0	0.03676618392423	0.000205591795916199	0	349	233	29	7.27083333333333	4.85416666666667	0.604166666666667
"1"	"Metals"	"Nickel_resistance"	0	0	0	0	0.00211510482165532	0	0	26	10	2	0.541666666666667	0.208333333333333	0.0416666666666667
"1"	"Metals"	"Sodium_resistance"	0	0.000379759788335696	0	0	0.00184289727265457	0	0	26	4	4	0.541666666666667	0.0833333333333333	0.0833333333333333
"1"	"Metals"	"Tellurium_resistance"	0.00376923076923077	0	0	0	0	0	0	10	4	0	0.208333333333333	0.0833333333333333	0
"1"	"Metals"	"Zinc_resistance"	0	0	0	0	0.00235628417438992	0	0	39	12	5	0.8125	0.25	0.104166666666667
"1"	"Multi-compound"	"Biocide_and_metal_resistance"	0	0	0	0	0.100154165690676	0	0	93	38	9	1.9375	0.791666666666667	0.1875
"1"	"Multi-compound"	"Drug_and_biocide_and_metal_resistance"	0	0.0001458473183183	0	0	0.00846584687451916	0.00106097577244295	0	82	72	10	1.70833333333333	1.5	0.208333333333333
"1"	"Multi-compound"	"Drug_and_biocide_resistance"	0	0	0	0	0.030936613614303	0.00267844158194402	0	487	426	81	10.1458333333333	8.875	1.6875
"2"	"Biocides"	"Acetate_resistance"	0	0.00694580987112005	0	0	0.0126166208020108	0	0	14	0	0	0.325581395348837	0	0
"2"	"Biocides"	"Acid_resistance"	0	0.00649076718911632	0	0	0.0139551422263436	0	0	91	2	1	2.11627906976744	0.0465116279069767	0.0232558139534884
"2"	"Biocides"	"Biguanide_resistance"	0.00128947368421053	0	0	0	0.0195940591667846	0	0	7	0	0	0.162790697674419	0	0
"2"	"Biocides"	"Multi-biocide_resistance"	0	0	0	0	0.00388290659316477	0	0	112	22	4	2.6046511627907	0.511627906976744	0.0930232558139535
"2"	"Biocides"	"Paraquat_resistance"	0.00128947368421053	0	0	0	0.0187266240861192	0	0	7	0	0	0.162790697674419	0	0
"2"	"Biocides"	"Peroxide_resistance"	0	0.00780810847501631	0	0	0.0234043436091948	0	0	51	4	3	1.18604651162791	0.0930232558139535	0.0697674418604651
"2"	"Biocides"	"Phenolic_compound_resistance"	0	0	0	0	0	0	0	11	2	0	0.255813953488372	0.0465116279069767	0
"2"	"Drugs"	"Aminocoumarins"	0	0.0733146107572215	0.0240452827199642	0	0.210466790250595	0.164759846676357	0	51	43	12	1.18604651162791	1	0.27906976744186
"2"	"Drugs"	"Aminoglycosides"	0	0.0147901905847548	0.00727246707050189	0	0.355188613800759	0.152795216780891	0.000124584605734844	168	142	79	3.90697674418605	3.30232558139535	1.83720930232558
"2"	"Drugs"	"Bacitracin"	0	0	0	0	0.00486482463515341	0	0	17	1	0	0.395348837209302	0.0232558139534884	0
"2"	"Drugs"	"betalactams"	0	0	0	0	0	0	0	140	33	30	3.25581395348837	0.767441860465116	0.697674418604651
"2"	"Drugs"	"Cationic_antimicrobial_peptides"	0	0.00656211214526255	0	0	0.254748689586251	0	0	69	18	13	1.6046511627907	0.418604651162791	0.302325581395349
"2"	"Drugs"	"Elfamycins"	0	0.287788194510717	0.0719822280744927	0.000456973294914624	0.043146650471607	0.0372304554178246	0.00274612930298755	15	13	8	0.348837209302326	0.302325581395349	0.186046511627907
"2"	"Drugs"	"Fluoroquinolones"	0	0.0191618997500314	0.00283261151931216	0	0.0664121544088519	0.0160291903171505	0	64	52	11	1.48837209302326	1.2093023255814	0.255813953488372
"2"	"Drugs"	"Fosfomycin"	0	0.00385628875562683	0	0	0.0107424735964441	0	0	58	9	0	1.34883720930233	0.209302325581395	0
"2"	"Drugs"	"Fusidic_acid"	0	0.190815285457875	0.0176558179955348	0	0.0988313056501947	0.0516234497869403	0	28	14	2	0.651162790697674	0.325581395348837	0.0465116279069767
"2"	"Drugs"	"Glycopeptides"	0	0	0	0	0	0	0	108	35	1	2.51162790697674	0.813953488372093	0.0232558139534884
"2"	"Drugs"	"Lipopeptides"	0	0	0	0	0	0.00257466125732872	0	35	33	5	0.813953488372093	0.767441860465116	0.116279069767442
"2"	"Drugs"	"Metronidazole"	0	0	0	0	0	0.171484858465675	0	2	16	0	0.0465116279069767	0.372093023255814	0
"2"	"Drugs"	"MLS"	0	0	0	0	0.270813723829351	0	0	274	114	30	6.37209302325581	2.65116279069767	0.697674418604651
"2"	"Drugs"	"Multi-drug_resistance"	0	0	0	0	0.101442301189774	0	0	160	87	16	3.72093023255814	2.02325581395349	0.372093023255814
"2"	"Drugs"	"Mupirocin"	0	0.0158774474423788	0	0	0.160529189772084	0.016032527687147	0	34	18	2	0.790697674418605	0.418604651162791	0.0465116279069767
"2"	"Drugs"	"Oxazolidinone"	0	0.411294859008085	0.170782853067	0.000753152046165593	0.101967972517447	0.053071354405695	0.00160788376310121	15	13	13	0.348837209302326	0.302325581395349	0.302325581395349
"2"	"Drugs"	"Pactamycin"	0	0.387746975562643	0.0666373944862841	0	0.162663063704247	0.13048059089018	0	15	13	3	0.348837209302326	0.302325581395349	0.0697674418604651
"2"	"Drugs"	"Pleuromutilin"	0	0.766113069579183	0.275014456599031	0.000989114179281468	0.17532124283347	0.114768224181955	0.00325969357597856	15	13	8	0.348837209302326	0.302325581395349	0.186046511627907
"2"	"Drugs"	"Sulfonamides"	0	0	0	0	0.0107348829560683	0	0	32	3	15	0.744186046511628	0.0697674418604651	0.348837209302326
"2"	"Drugs"	"Tetracyclines"	0	0	0	0	0.224754172854903	0.0562987937222117	0	213	122	43	4.95348837209302	2.83720930232558	1
"2"	"Drugs"	"Trimethoprim"	0.0262926829268293	0	0	0	0	0	0	4	0	0	0.0930232558139535	0	0
"2"	"Metals"	"Arsenic_resistance"	0	0.00520650128176953	0	0	0.0204550044956899	0	0	76	6	0	1.76744186046512	0.13953488372093	0
"2"	"Metals"	"Chromium_resistance"	0	0	0	0	0	0	0	10	1	0	0.232558139534884	0.0232558139534884	0
"2"	"Metals"	"Copper_resistance"	0	0	0	0	0.0110539930778535	0	0	128	36	6	2.97674418604651	0.837209302325581	0.13953488372093
"2"	"Metals"	"Iron_resistance"	0	0.0704595680597625	0	0	0.121821982769752	0	0	26	5	3	0.604651162790698	0.116279069767442	0.0697674418604651
"2"	"Metals"	"Lead_resistance"	0.00128947368421053	0	0	0	0.0401162015985327	0	0	8	1	0	0.186046511627907	0.0232558139534884	0
"2"	"Metals"	"Mercury_resistance"	0.00128947368421053	0	0	0	0	0	0	11	3	0	0.255813953488372	0.0697674418604651	0
"2"	"Metals"	"Multi-metal_resistance"	0	0	0	0	0.0182702605647296	0	0	404	56	8	9.3953488372093	1.30232558139535	0.186046511627907
"2"	"Metals"	"Nickel_resistance"	0	0.00586018395534224	0	0	0.0169764645862649	0	0	42	0	1	0.976744186046512	0	0.0232558139534884
"2"	"Metals"	"Sodium_resistance"	0	0.00612365750530303	0	0	0.0133133109353303	0	0	39	0	1	0.906976744186046	0	0.0232558139534884
"2"	"Metals"	"Zinc_resistance"	0	0.00602678515019597	0	0	0.0198931414242125	0	0	66	1	0	1.53488372093023	0.0232558139534884	0
"2"	"Multi-compound"	"Biocide_and_metal_resistance"	0	0.00663008468164008	0	0	0.0360876404739384	0	0	116	10	0	2.69767441860465	0.232558139534884	0
"2"	"Multi-compound"	"Drug_and_biocide_and_metal_resistance"	0	0.00376344627473109	0	0	0.014039099960588	0	0	101	23	2	2.34883720930233	0.534883720930233	0.0465116279069767
"2"	"Multi-compound"	"Drug_and_biocide_resistance"	0	0	0	0	0.0114030756407478	0	0	489	145	22	11.3720930232558	3.37209302325581	0.511627906976744
